GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bm,com.mohammali.web.bm.common.web,HomeController,2,3,0,0,1,1,1,1,1,1
bm,com.mohammali.web.bm.common.db.converter,MoneyConverter,8,3,0,0,2,1,2,1,2,1
bm,com.mohammali.web.bm.common.db.converter,DateConverter,8,7,0,0,2,2,2,2,2,2
bm,com.mohammali.web.bm.common.db.converter,AccountTypeConverter,12,3,0,0,4,1,2,1,2,1
bm,com.mohammali.web.bm.modules.auth.model,UserAuthentication,3,55,0,0,1,17,1,12,1,12
bm,com.mohammali.web.bm.modules.auth.data,AuthUseCaseImpl,10,102,3,7,4,27,3,7,0,5
bm,com.mohammali.web.bm.modules.sessions,SessionManagerConfig,0,9,0,0,0,2,0,2,0,2
bm,com.mohammali.web.bm.modules.sessions,SessionManagerImpl.new CacheLoader() {...},0,12,0,0,0,2,0,2,0,2
bm,com.mohammali.web.bm.modules.sessions,SessionManagerImpl,5,80,2,4,4,23,2,7,0,6
bm,com.mohammali.web.bm,BmApplication,5,3,0,0,2,1,1,1,1,1
bm,com.mohammali.web.bm.modules.statement.data,StatementRepoImpl,14,6,0,0,3,1,3,1,3,1
bm,com.mohammali.web.bm.modules.statement.data,StatementUseCaseImpl,1,138,3,7,0,29,3,11,0,9
bm,com.mohammali.web.bm.modules.user.model,UserEntity,220,33,46,0,2,6,33,6,10,6
bm,com.mohammali.web.bm.config.security,SessionFilter,29,10,4,0,9,2,3,2,1,2
bm,com.mohammali.web.bm.config.security,SecurityConfig,0,51,0,0,0,10,0,4,0,4
bm,com.mohammali.web.bm.config.swagger,SwaggerProperties,164,135,53,7,0,8,32,9,2,9
bm,com.mohammali.web.bm.config.swagger,SwaggerConfiguration,10,88,3,1,1,22,2,5,0,5
bm,com.mohammali.web.bm.common.utils,RangeUtil,9,51,6,14,2,11,5,7,0,2
bm,com.mohammali.web.bm.modules.statement.web,StatementController,22,6,0,0,3,1,1,1,1,1
bm,com.mohammali.web.bm.common.model,DateRangeDto,89,15,20,0,0,3,13,3,3,3
bm,com.mohammali.web.bm.common.model,AmountRangeDto,89,15,20,0,0,3,13,3,3,3
bm,com.mohammali.web.bm.modules.account.model,AccountEntity,131,24,30,0,0,4,19,7,4,7
bm,com.mohammali.web.bm.modules.account.model,AccountInfoDto,125,18,28,0,1,3,18,3,4,3
bm,com.mohammali.web.bm.modules.account.model,AccountType,0,34,0,0,0,4,0,1,0,1
bm,com.mohammali.web.bm.modules.statement.model,StatementIntoDto,200,21,44,0,4,2,29,2,7,2
bm,com.mohammali.web.bm.modules.statement.model,StatementEntity,164,31,38,0,0,5,23,9,4,9
bm,com.mohammali.web.bm.modules.user.data,UserRepoImpl,29,38,0,0,3,9,5,1,5,1
bm,com.mohammali.web.bm.modules.user.data,UserUseCaseImpl,0,11,0,0,0,2,0,2,0,2
bm,com.mohammali.web.bm.modules.account.repo,AccountRepoImpl,14,6,0,0,3,1,3,1,3,1
bm,com.mohammali.web.bm.modules.account.repo,AccountUseCaseImpl,10,57,1,1,1,12,1,6,0,6
bm,com.mohammali.web.bm.common.exceptions,NotValidAmountRangeException,0,4,0,0,0,2,0,1,0,1
bm,com.mohammali.web.bm.common.exceptions,NotValidRangeException,0,4,0,0,0,2,0,1,0,1
bm,com.mohammali.web.bm.common.exceptions,UserLoggedInException,0,4,0,0,0,2,0,1,0,1
bm,com.mohammali.web.bm.common.exceptions,NotValidDateRangeException,0,4,0,0,0,2,0,1,0,1
bm,com.mohammali.web.bm.common.exceptions,AccountNotFoundException,5,5,0,0,2,2,1,1,1,1
bm,com.mohammali.web.bm.common.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
bm,com.mohammali.web.bm.common.exceptions,WrongCredentialsException,0,4,0,0,0,2,0,1,0,1
bm,com.mohammali.web.bm.modules.auth.web,AuthController,0,27,0,0,0,7,0,3,0,3
